Type;Cause;value;Timestamp
AvatarTalking;Avatar_Speech;True;2021-12-07 14:23:36.365040
AvatarTalking;Avatar_Speech;True;2021-12-07 14:23:36.435888
AvatarTalking;Avatar_Speech;True;2021-12-07 14:23:36.536617
AvatarTalking;WelcomingSentence;True;2021-12-07 14:23:36.636907
AvatarTalking;Avatar_Speech;True;2021-12-07 14:24:00.914398
AvatarTalking;Avatar_Speech;True;2021-12-07 14:24:01.009144
AvatarTalking;ImageValidation;True;2021-12-07 14:24:01.109874
AvatarTalking;ImageSelection;True;2021-12-07 14:24:01.110874
AvatarTalking;Avatar_Speech;True;2021-12-07 14:24:01.110874
AvatarTalking;Avatar_Speech;True;2021-12-07 14:24:11.095775
AvatarTalking;Avatar_Speech;True;2021-12-07 14:24:11.190520
AvatarTalking;Commenting Photos;True;2021-12-07 14:24:11.291251
AvatarTalking;StartingSentence;True;2021-12-07 14:24:16.330005
AvatarTalking;Avatar_Speech;True;2021-12-07 14:24:16.330005
AvatarTalking;Avatar_Speech;True;2021-12-07 14:24:31.681573
AvatarTalking;Avatar_Speech;True;2021-12-07 14:24:32.177754
AvatarTalking;Dialog;Persons-q2;2021-12-07 14:24:46.259450
AvatarTalking;Avatar_Speech;True;2021-12-07 14:24:47.267366
AvatarTalking;Dialog;Persons-q3;2021-12-07 14:25:00.838911
AvatarTalking;Avatar_Speech;True;2021-12-07 14:25:00.844895
AvatarTalking;Dialog;Persons-q4;2021-12-07 14:25:10.886129
AvatarTalking;Avatar_Speech;True;2021-12-07 14:25:10.893117
AvatarTalking;Dialog;When-q1;2021-12-07 14:25:23.455163
AvatarTalking;Avatar_Speech;True;2021-12-07 14:25:23.461148
AvatarTalking;Dialog;When-q2;2021-12-07 14:25:33.498968
AvatarTalking;Avatar_Speech;True;2021-12-07 14:25:33.506946
AvatarTalking;Dialog;Where-q1n;2021-12-07 14:25:43.534704
AvatarTalking;Avatar_Speech;True;2021-12-07 14:25:43.541649
AvatarTalking;Dialog;Where-q2;2021-12-07 14:25:58.609852
AvatarTalking;Avatar_Speech;True;2021-12-07 14:25:58.615807
AvatarTalking;Dialog;Where-q3;2021-12-07 14:26:08.140691
AvatarTalking;Avatar_Speech;True;2021-12-07 14:26:08.146651
AvatarTalking;Avatar_Speech;True;2021-12-07 14:26:20.209823
AvatarTalking;Avatar_Speech;True;2021-12-07 14:26:36.317272
AvatarTalking;Avatar_Speech;True;2021-12-07 14:26:41.817993
AvatarTalking;Avatar_Speech;True;2021-12-07 14:26:42.813141
