Type;Cause;value;Timestamp
AvatarTalking;Avatar_Speech;True;2021-12-07 20:18:31.829576
AvatarTalking;Avatar_Speech;True;2021-12-07 20:18:31.885031
AvatarTalking;Avatar_Speech;True;2021-12-07 20:18:31.985136
AvatarTalking;WelcomingSentence;True;2021-12-07 20:18:32.086182
AvatarTalking;Avatar_Speech;True;2021-12-07 20:18:46.240052
AvatarTalking;Avatar_Speech;True;2021-12-07 20:18:46.333066
AvatarTalking;ImageValidation;True;2021-12-07 20:18:46.434027
AvatarTalking;ImageSelection;True;2021-12-07 20:18:46.436047
AvatarTalking;Avatar_Speech;True;2021-12-07 20:18:46.437018
AvatarTalking;Avatar_Speech;True;2021-12-07 20:18:56.427126
AvatarTalking;Avatar_Speech;True;2021-12-07 20:18:56.520994
AvatarTalking;Commenting Photos;True;2021-12-07 20:18:56.623148
AvatarTalking;Avatar_Speech;True;2021-12-07 20:19:01.662024
4
AvatarTalking;Avatar_Speech;True;2021-12-07 20:19:26.194973
AvatarTalking;StartingSentence;Other-word;2021-12-07 20:19:33.757927
AvatarTalking;Avatar_Speech;True;2021-12-07 20:19:33.765867
AvatarTalking;Avatar_Speech;True;2021-12-07 20:19:40.846145
AvatarTalking;Avatar_Speech;True;2021-12-07 20:19:41.338267
AvatarTalking;Dialog;Persons-q2;2021-12-07 20:19:59.464858
AvatarTalking;Avatar_Speech;True;2021-12-07 20:20:00.474211
