Type;Cause;value;Timestamp
AvatarTalking;Avatar_Speech;True;2021-12-07 09:31:15.201928
AvatarTalking;Avatar_Speech;True;2021-12-07 09:31:15.264361
AvatarTalking;Avatar_Speech;True;2021-12-07 09:31:15.376021
AvatarTalking;WelcomingSentence;True;2021-12-07 09:31:15.488932
AvatarTalking;Avatar_Speech;True;2021-12-07 09:31:30.517751
AvatarTalking;Avatar_Speech;True;2021-12-07 09:31:30.626951
AvatarTalking;ImageValidation;True;2021-12-07 09:31:30.734971
AvatarTalking;ImageSelection;True;2021-12-07 09:31:30.737002
AvatarTalking;Avatar_Speech;True;2021-12-07 09:31:30.737002
AvatarTalking;Avatar_Speech;True;2021-12-07 09:31:41.536568
AvatarTalking;Avatar_Speech;True;2021-12-07 09:31:41.642739
AvatarTalking;Commenting Photos;True;2021-12-07 09:31:41.752447
AvatarTalking;StartingSentence;True;2021-12-07 09:31:46.818592
AvatarTalking;Avatar_Speech;True;2021-12-07 09:31:46.818592
