Type;Cause;value;Timestamp
AvatarTalking;ImageValidation;True;2022-03-09 14:31:41.223000
AvatarTalking;Dialog;Commenting-photos;2022-03-09 14:31:44.101000
AvatarTalking;Dialog;Yes-beginning;2022-03-09 14:32:04.564000
AvatarTalking;Dialog;Persons-recognized;2022-03-09 14:32:07.262000
AvatarTalking;Dialog;Persons-q2;2022-03-09 14:32:22.987000
AvatarTalking;Dialog;Persons-q3;2022-03-09 14:32:30.625000
AvatarTalking;Dialog;Persons-q4;2022-03-09 14:32:37.416000
AvatarTalking;Dialog;When-q1;2022-03-09 14:32:44.390000
AvatarTalking;Dialog;When-q2;2022-03-09 14:32:50.531000
AvatarTalking;Dialog;Where-q1n;2022-03-09 14:33:12.243000
AvatarTalking;Dialog;Where-q2;2022-03-09 14:33:19.978000
AvatarTalking;Dialog;Where-q3;2022-03-09 14:33:35.495000
AvatarTalking;Dialog;Not_User_Voice;2022-03-09 14:33:54.111000
AvatarTalking;Dialog;Second-Photo;2022-03-09 14:34:21.921000
AvatarTalking;Dialog;Commenting-photos;2022-03-09 14:34:34.899000
AvatarTalking;Dialog;Yes-beginning;2022-03-09 14:34:49.640000
AvatarTalking;Dialog;When-q1;2022-03-09 14:34:54.524000
AvatarTalking;Dialog;When-q2;2022-03-09 14:35:06.472000
AvatarTalking;Dialog;Where-q1n;2022-03-09 14:35:24.505000
AvatarTalking;Dialog;Where-q2;2022-03-09 14:35:35.965000
AvatarTalking;Dialog;Where-q3;2022-03-09 14:35:42.535000
AvatarTalking;Dialog;Not_User_Voice;2022-03-09 14:35:56.985000
AvatarTalking;Dialog;Ending_Phrase;2022-03-09 14:36:30.111000
