Type;Cause;value;Timestamp
AvatarTalking;Avatar_Speech;True;2021-12-07 10:37:09.599773
AvatarTalking;Avatar_Speech;True;2021-12-07 10:37:09.667376
AvatarTalking;Avatar_Speech;True;2021-12-07 10:37:09.776834
AvatarTalking;WelcomingSentence;True;2021-12-07 10:37:09.887524
AvatarTalking;Avatar_Speech;True;2021-12-07 10:37:24.876323
AvatarTalking;Avatar_Speech;True;2021-12-07 10:37:24.983053
AvatarTalking;ImageValidation;True;2021-12-07 10:37:25.091167
AvatarTalking;ImageSelection;True;2021-12-07 10:37:25.092223
AvatarTalking;Avatar_Speech;True;2021-12-07 10:37:25.092223
AvatarTalking;Avatar_Speech;True;2021-12-07 10:37:35.968823
AvatarTalking;Avatar_Speech;True;2021-12-07 10:37:36.061079
AvatarTalking;Commenting Photos;True;2021-12-07 10:37:36.169488
AvatarTalking;Avatar_Speech;True;2021-12-07 10:37:41.228901
1
AvatarTalking;StartingSentence;Other-word;2021-12-07 10:37:55.439071
AvatarTalking;Avatar_Speech;True;2021-12-07 10:37:55.446051
AvatarTalking;Dialog;When;2021-12-07 10:38:02.493836
AvatarTalking;Avatar_Speech;True;2021-12-07 10:38:02.503703
