Type;Cause;value;Timestamp
AvatarTalking;Avatar_Speech;True;2021-12-07 19:34:43.430412
AvatarTalking;Avatar_Speech;True;2021-12-07 19:34:43.466348
AvatarTalking;Avatar_Speech;True;2021-12-07 19:34:43.566247
AvatarTalking;WelcomingSentence;True;2021-12-07 19:34:43.667402
AvatarTalking;Avatar_Speech;True;2021-12-07 19:34:57.809259
AvatarTalking;Avatar_Speech;True;2021-12-07 19:34:57.901626
AvatarTalking;ImageValidation;True;2021-12-07 19:34:58.003303
AvatarTalking;ImageSelection;True;2021-12-07 19:34:58.004300
AvatarTalking;Avatar_Speech;True;2021-12-07 19:34:58.005298
AvatarTalking;Avatar_Speech;True;2021-12-07 19:35:08.009893
AvatarTalking;Avatar_Speech;True;2021-12-07 19:35:08.102296
AvatarTalking;Commenting Photos;True;2021-12-07 19:35:08.205289
AvatarTalking;Avatar_Speech;True;2021-12-07 19:35:13.257113
AvatarTalking;StartingSentence;True;2021-12-07 19:35:13.257622
AvatarTalking;Avatar_Speech;True;2021-12-07 19:35:29.597008
AvatarTalking;Avatar_Speech;True;2021-12-07 19:35:30.091575
AvatarTalking;Dialog;Persons-q2;2021-12-07 19:35:43.680495
AvatarTalking;Avatar_Speech;True;2021-12-07 19:35:44.692119
AvatarTalking;Dialog;Persons-q3;2021-12-07 19:35:55.245497
AvatarTalking;Avatar_Speech;True;2021-12-07 19:35:55.260291
AvatarTalking;Dialog;Persons-q4;2021-12-07 19:36:03.788569
AvatarTalking;Avatar_Speech;True;2021-12-07 19:36:03.797544
AvatarTalking;Dialog;When-q1;2021-12-07 19:36:16.872239
AvatarTalking;Avatar_Speech;True;2021-12-07 19:36:16.883205
AvatarTalking;Dialog;When-q2;2021-12-07 19:36:27.940174
AvatarTalking;Avatar_Speech;True;2021-12-07 19:36:27.949423
AvatarTalking;Dialog;Where-q1n;2021-12-07 19:36:38.984266
AvatarTalking;Avatar_Speech;True;2021-12-07 19:36:38.994238
AvatarTalking;Dialog;Where-q2;2021-12-07 19:36:54.087125
AvatarTalking;Avatar_Speech;True;2021-12-07 19:36:54.096100
AvatarTalking;Dialog;Where-q3;2021-12-07 19:37:03.624831
AvatarTalking;Avatar_Speech;True;2021-12-07 19:37:03.634221
AvatarTalking;Avatar_Speech;True;2021-12-07 19:37:14.705314
AvatarTalking;Avatar_Speech;True;2021-12-07 19:37:27.789189
AvatarTalking;Avatar_Speech;True;2021-12-07 19:37:33.287071
AvatarTalking;Avatar_Speech;True;2021-12-07 19:37:34.281151
