Type;Cause;value;Timestamp
AvatarTalking;Avatar_Speech;True;2021-12-07 19:24:00.717732
AvatarTalking;Avatar_Speech;True;2021-12-07 19:24:00.719594
AvatarTalking;Avatar_Speech;True;2021-12-07 19:24:00.829536
AvatarTalking;WelcomingSentence;True;2021-12-07 19:24:00.941058
AvatarTalking;Avatar_Speech;True;2021-12-07 19:24:17.130285
AvatarTalking;Avatar_Speech;True;2021-12-07 19:24:17.223832
AvatarTalking;ImageValidation;True;2021-12-07 19:24:17.324824
AvatarTalking;ImageSelection;True;2021-12-07 19:24:17.325822
AvatarTalking;Avatar_Speech;True;2021-12-07 19:24:17.325822
AvatarTalking;Avatar_Speech;True;2021-12-07 19:24:28.513238
AvatarTalking;Avatar_Speech;True;2021-12-07 19:24:28.607014
AvatarTalking;Commenting Photos;True;2021-12-07 19:24:28.708360
AvatarTalking;StartingSentence;True;2021-12-07 19:24:33.754617
AvatarTalking;StartingSentence;Other-word;2021-12-07 19:24:49.257078
AvatarTalking;Avatar_Speech;True;2021-12-07 19:24:49.264060
AvatarTalking;Avatar_Speech;True;2021-12-07 19:24:55.140080
AvatarTalking;Avatar_Speech;True;2021-12-07 19:24:55.640251
AvatarTalking;Dialog;Persons-q2;2021-12-07 19:25:11.258638
AvatarTalking;Avatar_Speech;True;2021-12-07 19:25:12.273130
