Type;Cause;value;Timestamp
AvatarTalking;Avatar_Speech;True;2021-12-07 14:11:48.046168
AvatarTalking;Avatar_Speech;True;2021-12-07 14:11:48.112993
AvatarTalking;Avatar_Speech;True;2021-12-07 14:11:48.217738
AvatarTalking;WelcomingSentence;True;2021-12-07 14:11:48.323415
AvatarTalking;Avatar_Speech;True;2021-12-07 14:12:02.462292
AvatarTalking;Avatar_Speech;True;2021-12-07 14:12:02.558070
AvatarTalking;ImageValidation;True;2021-12-07 14:12:02.659764
AvatarTalking;Avatar_Speech;True;2021-12-07 14:12:02.660762
AvatarTalking;ImageSelection;True;2021-12-07 14:12:02.660762
AvatarTalking;Avatar_Speech;True;2021-12-07 14:12:12.636527
AvatarTalking;Avatar_Speech;True;2021-12-07 14:12:12.732271
AvatarTalking;Commenting Photos;True;2021-12-07 14:12:12.833999
AvatarTalking;Avatar_Speech;True;2021-12-07 14:12:17.880338
8
AvatarTalking;Dialog;When;2021-12-07 14:12:36.714164
AvatarTalking;Avatar_Speech;True;2021-12-07 14:12:36.720149
