Type;Cause;value;Timestamp
AvatarTalking;ImageValidation;True;2022-03-09 16:16:24.727000
AvatarTalking;Dialog;Commenting-photos;2022-03-09 16:16:52.552000
AvatarTalking;Dialog;Yes-beginning;2022-03-09 16:17:19.468000
AvatarTalking;Dialog;Persons-recognized;2022-03-09 16:17:22.488000
AvatarTalking;Dialog;Persons-q2;2022-03-09 16:17:32.867000
AvatarTalking;Dialog;Persons-q3;2022-03-09 16:17:43.443000
AvatarTalking;Dialog;Persons-q4;2022-03-09 16:17:50.223000
AvatarTalking;Dialog;When-q1;2022-03-09 16:18:00.420000
AvatarTalking;Dialog;When-q2;2022-03-09 16:18:10.017000
AvatarTalking;Dialog;Where-q1n;2022-03-09 16:18:26.673000
AvatarTalking;Dialog;Where-q2;2022-03-09 16:18:39.587000
AvatarTalking;Dialog;Where-q3;2022-03-09 16:18:48.254000
AvatarTalking;Dialog;Second-Photo;2022-03-09 16:19:19.800000
AvatarTalking;Dialog;Commenting-photos;2022-03-09 16:19:29.612000
AvatarTalking;Dialog;Yes-beginning;2022-03-09 16:19:44.989000
AvatarTalking;Dialog;When-q2;2022-03-09 16:19:49.946000
AvatarTalking;Dialog;Where-q1n;2022-03-09 16:20:12.904000
AvatarTalking;Dialog;Where-q2;2022-03-09 16:20:19.579000
AvatarTalking;Dialog;Where-q3;2022-03-09 16:20:31.271000
AvatarTalking;Dialog;Ending_Phrase;2022-03-09 16:20:50.046000
