Type;Cause;value;Timestamp
AvatarTalking;Avatar_Speech;True;2021-12-07 09:45:49.170211
AvatarTalking;Avatar_Speech;True;2021-12-07 09:45:49.193226
AvatarTalking;Avatar_Speech;True;2021-12-07 09:45:49.303981
AvatarTalking;WelcomingSentence;True;2021-12-07 09:45:49.417565
AvatarTalking;Avatar_Speech;True;2021-12-07 09:46:04.406962
AvatarTalking;Avatar_Speech;True;2021-12-07 09:46:04.493825
AvatarTalking;ImageValidation;True;2021-12-07 09:46:04.605041
AvatarTalking;ImageSelection;True;2021-12-07 09:46:04.606951
AvatarTalking;Avatar_Speech;True;2021-12-07 09:46:04.606951
AvatarTalking;Avatar_Speech;True;2021-12-07 09:46:30.390962
AvatarTalking;Avatar_Speech;True;2021-12-07 09:46:30.495739
AvatarTalking;Commenting Photos;True;2021-12-07 09:46:30.607102
AvatarTalking;Avatar_Speech;True;2021-12-07 09:46:35.662800
AvatarTalking;StartingSentence;True;2021-12-07 09:46:35.663841
AvatarTalking;Avatar_Speech;True;2021-12-07 09:47:01.976828
