Type;Cause;value;Timestamp
AvatarTalking;Dialog;Persons-q2;2022-03-08 15:58:02.551000
AvatarTalking;Dialog;Persons-q3;2022-03-08 15:58:26.169000
AvatarTalking;Dialog;Persons-q4;2022-03-08 15:58:40.919000
AvatarTalking;Dialog;Animals-q1;2022-03-08 15:59:00.361000
AvatarTalking;Dialog;Animals-q2;2022-03-08 15:59:22.263000
AvatarTalking;Dialog;Animals-q3;2022-03-08 15:59:29.960000
AvatarTalking;Dialog;Animals-q4;2022-03-08 15:59:51.991000
AvatarTalking;Dialog;When-q1;2022-03-08 15:59:59.579000
AvatarTalking;Dialog;When-q2;2022-03-08 16:00:24.060000
AvatarTalking;Dialog;Where-q1n;2022-03-08 16:00:32.021000
AvatarTalking;Dialog;Where-q2;2022-03-08 16:00:50.149000
AvatarTalking;Dialog;Where-q3;2022-03-08 16:01:06.466000
