Type;Cause;value;Timestamp
AvatarTalking;Avatar_Speech;True;2021-12-07 10:16:59.290763
AvatarTalking;Avatar_Speech;True;2021-12-07 10:16:59.333734
AvatarTalking;Avatar_Speech;True;2021-12-07 10:16:59.443569
AvatarTalking;WelcomingSentence;True;2021-12-07 10:16:59.555644
AvatarTalking;Avatar_Speech;True;2021-12-07 10:17:14.511694
AvatarTalking;Avatar_Speech;True;2021-12-07 10:17:14.618040
AvatarTalking;ImageValidation;True;2021-12-07 10:17:14.727972
AvatarTalking;ImageSelection;True;2021-12-07 10:17:14.729962
AvatarTalking;Avatar_Speech;True;2021-12-07 10:17:14.730589
AvatarTalking;Avatar_Speech;True;2021-12-07 10:17:25.611999
AvatarTalking;Avatar_Speech;True;2021-12-07 10:17:25.706118
AvatarTalking;Commenting Photos;True;2021-12-07 10:17:25.816275
AvatarTalking;StartingSentence;True;2021-12-07 10:17:30.883620
AvatarTalking;Avatar_Speech;True;2021-12-07 10:17:30.883620
