Type;Cause;value;Timestamp
AvatarTalking;Avatar_Speech;True;2021-12-07 19:27:17.181427
AvatarTalking;Avatar_Speech;True;2021-12-07 19:27:17.233249
AvatarTalking;Avatar_Speech;True;2021-12-07 19:27:17.334110
AvatarTalking;WelcomingSentence;True;2021-12-07 19:27:17.436711
AvatarTalking;Avatar_Speech;True;2021-12-07 19:27:31.602228
AvatarTalking;Avatar_Speech;True;2021-12-07 19:27:31.695936
AvatarTalking;ImageValidation;True;2021-12-07 19:27:31.796817
AvatarTalking;ImageSelection;True;2021-12-07 19:27:31.798848
AvatarTalking;Avatar_Speech;True;2021-12-07 19:27:31.799314
AvatarTalking;Avatar_Speech;True;2021-12-07 19:27:41.812062
AvatarTalking;Avatar_Speech;True;2021-12-07 19:27:41.904442
AvatarTalking;Commenting Photos;True;2021-12-07 19:27:42.005511
AvatarTalking;Avatar_Speech;True;2021-12-07 19:27:47.066974
6
AvatarTalking;Avatar_Speech;True;2021-12-07 19:28:24.005789
AvatarTalking;Avatar_Speech;True;2021-12-07 19:28:24.499141
AvatarTalking;Dialog;Persons-q2;2021-12-07 19:28:32.017196
AvatarTalking;Avatar_Speech;True;2021-12-07 19:28:33.027223
AvatarTalking;Dialog;Persons-q3;2021-12-07 19:28:40.546663
AvatarTalking;Avatar_Speech;True;2021-12-07 19:28:40.554678
AvatarTalking;Dialog;Persons-q4;2021-12-07 19:28:48.583641
AvatarTalking;Avatar_Speech;True;2021-12-07 19:28:48.592102
AvatarTalking;Dialog;When-q1;2021-12-07 19:29:00.155578
AvatarTalking;Avatar_Speech;True;2021-12-07 19:29:00.166692
AvatarTalking;Dialog;When-q2;2021-12-07 19:29:10.713506
AvatarTalking;Avatar_Speech;True;2021-12-07 19:29:10.721818
AvatarTalking;Dialog;Where-q1n;2021-12-07 19:29:21.255956
AvatarTalking;Avatar_Speech;True;2021-12-07 19:29:21.264892
AvatarTalking;Dialog;Where-q2;2021-12-07 19:29:34.331161
AvatarTalking;Avatar_Speech;True;2021-12-07 19:29:34.337145
AvatarTalking;Dialog;Where-q3;2021-12-07 19:29:43.865592
AvatarTalking;Avatar_Speech;True;2021-12-07 19:29:43.873569
AvatarTalking;Avatar_Speech;True;2021-12-07 19:29:54.930624
AvatarTalking;Avatar_Speech;True;2021-12-07 19:30:09.033031
AvatarTalking;Avatar_Speech;True;2021-12-07 19:30:14.528575
AvatarTalking;Avatar_Speech;True;2021-12-07 19:30:15.528978
AvatarTalking;Avatar_Speech;True;2021-12-07 19:30:35.122556
AvatarTalking;Avatar_Speech;True;2021-12-07 19:30:35.211142
AvatarTalking;Avatar_Speech;True;2021-12-07 19:30:35.311588
AvatarTalking;WelcomingSentence;True;2021-12-07 19:30:35.414657
