Type;Cause;value;Timestamp
AvatarTalking;Avatar_Speech;True;2021-12-07 09:39:18.853221
AvatarTalking;Avatar_Speech;True;2021-12-07 09:39:18.879685
AvatarTalking;Avatar_Speech;True;2021-12-07 09:39:18.988595
AvatarTalking;WelcomingSentence;True;2021-12-07 09:39:19.102054
AvatarTalking;Avatar_Speech;True;2021-12-07 09:39:35.391986
AvatarTalking;Avatar_Speech;True;2021-12-07 09:39:35.499787
AvatarTalking;ImageValidation;True;2021-12-07 09:39:35.611212
AvatarTalking;Avatar_Speech;True;2021-12-07 09:39:35.612235

AvatarTalking;Avatar_Speech;True;2021-12-07 09:39:45.123472
AvatarTalking;Avatar_Speech;True;2021-12-07 09:39:45.231640
AvatarTalking;Commenting Photos;True;2021-12-07 09:39:45.342175
AvatarTalking;StartingSentence;True;2021-12-07 09:39:50.391129
AvatarTalking;Avatar_Speech;True;2021-12-07 09:39:50.394126
