Type;Cause;value;Timestamp
AvatarTalking;ImageValidation;True;2022-03-09 11:21:32.414000
AvatarTalking;Dialog;Commenting-photos;2022-03-09 11:21:36.241000
AvatarTalking;Dialog;Yes-beginning;2022-03-09 11:22:04.588000
AvatarTalking;Dialog;Persons-recognized;2022-03-09 11:22:07.632000
AvatarTalking;Dialog;Persons-q2;2022-03-09 11:22:27.065000
AvatarTalking;Dialog;Persons-q3;2022-03-09 11:22:38.274000
AvatarTalking;Dialog;Persons-q4;2022-03-09 11:22:46.078000
AvatarTalking;Dialog;Animals-q1;2022-03-09 11:23:02.952000
AvatarTalking;Dialog;Animals-q2;2022-03-09 11:23:16.411000
AvatarTalking;Dialog;Animals-q3;2022-03-09 11:23:30.793000
AvatarTalking;Dialog;Animals-q4;2022-03-09 11:23:44.969000
AvatarTalking;Dialog;When-q1;2022-03-09 11:23:50.518000
