Type;Cause;value;Timestamp
AvatarTalking;Avatar_Speech;True;2021-12-06 17:10:48.573545
AvatarTalking;Avatar_Speech;True;2021-12-06 17:10:48.654331
AvatarTalking;Avatar_Speech;True;2021-12-06 17:10:48.764918
AvatarTalking;WelcomingSentence;True;2021-12-06 17:10:48.875858
AvatarTalking;Avatar_Speech;True;2021-12-06 17:11:19.616295
AvatarTalking;Avatar_Speech;True;2021-12-06 17:11:19.726037
AvatarTalking;ImageValidation;True;2021-12-06 17:11:19.836748
AvatarTalking;ImageSelection;True;2021-12-06 17:11:19.837712
AvatarTalking;Avatar_Speech;True;2021-12-06 17:11:19.837712
AvatarTalking;Avatar_Speech;True;2021-12-06 17:11:48.673047
AvatarTalking;Avatar_Speech;True;2021-12-06 17:11:48.772780
AvatarTalking;Commenting Photos;True;2021-12-06 17:11:48.882487
AvatarTalking;StartingSentence;True;2021-12-06 17:11:53.927825
AvatarTalking;Avatar_Speech;True;2021-12-06 17:11:53.927825
AvatarTalking;Dialog;When;2021-12-06 17:12:07.742238
AvatarTalking;Avatar_Speech;True;2021-12-06 17:12:07.748223
AvatarTalking;Dialog;When-q2;2021-12-06 17:12:20.367879
AvatarTalking;Avatar_Speech;True;2021-12-06 17:12:20.373853
AvatarTalking;Dialog;Where-q1n;2021-12-06 17:12:33.976726
AvatarTalking;Avatar_Speech;True;2021-12-06 17:12:33.983712
AvatarTalking;Dialog;Where-q2;2021-12-06 17:12:43.046877
AvatarTalking;Avatar_Speech;True;2021-12-06 17:12:43.052862
AvatarTalking;Dialog;Where-q3;2021-12-06 17:12:53.134825
AvatarTalking;Avatar_Speech;True;2021-12-06 17:12:53.141806
AvatarTalking;Avatar_Speech;True;2021-12-06 17:13:04.230658
AvatarTalking;Avatar_Speech;True;2021-12-06 17:13:17.414072
AvatarTalking;Avatar_Speech;True;2021-12-06 17:13:22.929227
AvatarTalking;Avatar_Speech;True;2021-12-06 17:13:23.931562
