Type;Cause;value;Timestamp
AvatarTalking;ImageValidation;True;2022-03-09 13:59:00.371000
AvatarTalking;Dialog;Commenting-photos;2022-03-09 13:59:07.569000
AvatarTalking;Dialog;Yes-beginning;2022-03-09 13:59:33.352000
AvatarTalking;Dialog;Persons-recognized;2022-03-09 13:59:36.493000
AvatarTalking;Dialog;Persons-q2;2022-03-09 13:59:58.477000
AvatarTalking;Dialog;Persons-q3;2022-03-09 14:00:10.303000
AvatarTalking;Dialog;Persons-q4;2022-03-09 14:00:19.714000
AvatarTalking;Dialog;When-q1;2022-03-09 14:00:42.373000
AvatarTalking;Dialog;When-q2;2022-03-09 14:00:57.900000
AvatarTalking;Dialog;Where-q1n;2022-03-09 14:01:15.098000
AvatarTalking;Dialog;Where-q2;2022-03-09 14:01:23.921000
AvatarTalking;Dialog;Where-q3;2022-03-09 14:01:32.111000
AvatarTalking;Dialog;Second-Photo;2022-03-09 14:02:11.925000
AvatarTalking;Dialog;Commenting-photos;2022-03-09 14:02:27.169000
AvatarTalking;Dialog;No-beginning;2022-03-09 14:02:42.544000
