Sound_Tag;Objects_Recognized;Timestamp
None;{'fork': 0, 'bus': 0, 'stop sign': 0, 'spoon': 0, 'cup': 0, 'car': 0, 'traffic light': 0, 'dog': 0, 'cat': 0, 'person': 1, 'book': 0, 'wine glass': 0, 'bird': 0, 'knife': 0};2022-03-09 13:59:15.264000
True;None;2022-03-09 13:59:36.492000
True;None;2022-03-09 13:59:43.829000
True;None;2022-03-09 13:59:44.354000
True;None;2022-03-09 13:59:44.870000
True;None;2022-03-09 13:59:45.399000
True;None;2022-03-09 13:59:45.918000
True;None;2022-03-09 13:59:46.442000
True;None;2022-03-09 13:59:46.964000
True;None;2022-03-09 13:59:47.488000
True;None;2022-03-09 13:59:48.001000
True;None;2022-03-09 13:59:48.526000
True;None;2022-03-09 13:59:49.047000
False;None;2022-03-09 13:59:49.577000
False;None;2022-03-09 13:59:50.106000
False;None;2022-03-09 13:59:50.634000
False;None;2022-03-09 13:59:51.157000
False;None;2022-03-09 13:59:51.681000
False;None;2022-03-09 13:59:52.200000
False;None;2022-03-09 13:59:52.726000
False;None;2022-03-09 13:59:53.249000
False;None;2022-03-09 13:59:53.764000
False;None;2022-03-09 13:59:54.287000
True;None;2022-03-09 13:59:54.810000
True;None;2022-03-09 13:59:55.329000
True;None;2022-03-09 13:59:55.862000
True;None;2022-03-09 13:59:56.384000
True;None;2022-03-09 13:59:56.907000
True;None;2022-03-09 13:59:57.423000
True;None;2022-03-09 13:59:57.939000
False;None;2022-03-09 13:59:58.463000
False;None;2022-03-09 14:00:03.969000
False;None;2022-03-09 14:00:04.491000
True;None;2022-03-09 14:00:05.023000
True;None;2022-03-09 14:00:05.541000
True;None;2022-03-09 14:00:06.071000
True;None;2022-03-09 14:00:06.601000
True;None;2022-03-09 14:00:07.132000
True;None;2022-03-09 14:00:07.662000
True;None;2022-03-09 14:00:08.189000
True;None;2022-03-09 14:00:08.710000
True;None;2022-03-09 14:00:09.240000
True;None;2022-03-09 14:00:09.768000
False;None;2022-03-09 14:00:10.294000
True;None;2022-03-09 14:00:15.505000
True;None;2022-03-09 14:00:16.028000
True;None;2022-03-09 14:00:16.563000
True;None;2022-03-09 14:00:17.079000
True;None;2022-03-09 14:00:17.603000
True;None;2022-03-09 14:00:18.130000
True;None;2022-03-09 14:00:18.645000
True;None;2022-03-09 14:00:19.169000
False;None;2022-03-09 14:00:19.701000
False;None;2022-03-09 14:00:25.082000
True;None;2022-03-09 14:00:25.607000
True;None;2022-03-09 14:00:26.126000
True;None;2022-03-09 14:00:26.649000
True;None;2022-03-09 14:00:27.172000
True;None;2022-03-09 14:00:27.697000
True;None;2022-03-09 14:00:28.213000
True;None;2022-03-09 14:00:28.740000
True;None;2022-03-09 14:00:29.268000
True;None;2022-03-09 14:00:29.801000
True;None;2022-03-09 14:00:30.339000
True;None;2022-03-09 14:00:30.871000
True;None;2022-03-09 14:00:31.387000
True;None;2022-03-09 14:00:31.910000
False;None;2022-03-09 14:00:32.440000
False;None;2022-03-09 14:00:32.974000
False;None;2022-03-09 14:00:33.487000
False;None;2022-03-09 14:00:34.009000
False;None;2022-03-09 14:00:34.517000
False;None;2022-03-09 14:00:35.047000
False;None;2022-03-09 14:00:35.557000
False;None;2022-03-09 14:00:36.082000
False;None;2022-03-09 14:00:36.598000
False;None;2022-03-09 14:00:37.120000
False;None;2022-03-09 14:00:37.645000
False;None;2022-03-09 14:00:38.170000
False;None;2022-03-09 14:00:38.688000
True;None;2022-03-09 14:00:39.219000
True;None;2022-03-09 14:00:39.732000
True;None;2022-03-09 14:00:40.251000
True;None;2022-03-09 14:00:40.777000
True;None;2022-03-09 14:00:41.311000
True;None;2022-03-09 14:00:41.843000
False;None;2022-03-09 14:00:42.372000
False;None;2022-03-09 14:00:48.426000
False;None;2022-03-09 14:00:48.950000
False;None;2022-03-09 14:00:49.479000
False;None;2022-03-09 14:00:50.011000
True;None;2022-03-09 14:00:50.536000
True;None;2022-03-09 14:00:51.065000
True;None;2022-03-09 14:00:51.583000
True;None;2022-03-09 14:00:52.114000
True;None;2022-03-09 14:00:52.628000
True;None;2022-03-09 14:00:53.137000
True;None;2022-03-09 14:00:53.657000
True;None;2022-03-09 14:00:54.184000
True;None;2022-03-09 14:00:54.705000
True;None;2022-03-09 14:00:55.241000
True;None;2022-03-09 14:00:55.771000
True;None;2022-03-09 14:00:56.292000
True;None;2022-03-09 14:00:56.822000
True;None;2022-03-09 14:00:57.361000
False;None;2022-03-09 14:00:57.884000
True;None;2022-03-09 14:01:05.203000
True;None;2022-03-09 14:01:05.722000
True;None;2022-03-09 14:01:06.255000
False;None;2022-03-09 14:01:06.786000
True;None;2022-03-09 14:01:08.313000
True;None;2022-03-09 14:01:08.837000
True;None;2022-03-09 14:01:09.360000
True;None;2022-03-09 14:01:09.889000
True;None;2022-03-09 14:01:10.420000
True;None;2022-03-09 14:01:10.933000
True;None;2022-03-09 14:01:11.462000
True;None;2022-03-09 14:01:11.985000
True;None;2022-03-09 14:01:12.503000
True;None;2022-03-09 14:01:13.026000
